mk123,
Wavelength (nm),Abs
827,1.455057979
826,1.456547379
825,1.458499908
824,1.460048914
823,1.461746693
822,1.463587284
821,1.465392351
820,1.467523932
819,1.46966517
818,1.471958756
817,1.474544048
816,1.476679921
815,1.479422927
814,1.481862903
813,1.484599352
812,1.487540364
811,1.489909291
810,1.492880106
809,1.495764375
808,1.498450756
807,1.501230955
806,1.504041791
805,1.506752014
804,1.509786367
803,1.512028813
802,1.515191436
801,1.51729846
800,1.520223141
799,1.40426302
798,1.403543711
797,1.402894974
796,1.401741385
795,1.400761843
794,1.399562478
793,1.397985578
792,1.396886349
791,1.395784855
790,1.394510627
789,1.393028736
788,1.391241312
787,1.390280485
786,1.388703585
785,1.387549996
784,1.386889338
783,1.38609767
782,1.385491252
781,1.385078669
780,1.384851217
779,1.385042071
778,1.384888291
777,1.385528088
776,1.385738134
775,1.385515213
774,1.387110829
773,1.387332678
772,1.387911201
771,1.388804793
770,1.389710903
769,1.390700936
768,1.391480327
767,1.393042922
766,1.393788815
765,1.395236492
764,1.396586418
763,1.398397088
762,1.399928808
761,1.401968241
760,1.403950453
759,1.40566206
758,1.408302069
757,1.411431909
756,1.414759755
755,1.417731524
754,1.421664
753,1.42613256
752,1.430230141
751,1.435273051
750,1.440399885
749,1.446400523
748,1.451772451
747,1.457773924
746,1.463716984
745,1.469265342
744,1.475420833
743,1.480920792
742,1.485976458
741,1.490339518
740,1.494601369
739,1.497773647
738,1.500135779
737,1.502120972
736,1.503864288
735,1.505514145
734,1.506766915
733,1.508024335
732,1.509256005
731,1.510700703
730,1.512416363
729,1.51377821
728,1.515010715
727,1.515857697
726,1.515888929
725,1.51518023
724,1.514007449
723,1.511571527
722,1.508465528
721,1.50454545
720,1.500040531
719,1.495130062
718,1.489360094
717,1.484136343
716,1.478998661
715,1.473537445
714,1.46879077
713,1.46439755
712,1.460369229
711,1.456784725
710,1.453909159
709,1.451619029
708,1.449796796
707,1.448426008
706,1.447785258
705,1.447422028
704,1.447552562
703,1.447925687
702,1.448774815
701,1.449872255
700,1.451077104
699,1.452333212
698,1.453618169
697,1.454932928
696,1.456065655
695,1.457261086
694,1.458722949
693,1.459669948
692,1.460927129
691,1.462482691
690,1.464168668
689,1.465960145
688,1.468604445
687,1.471301794
686,1.47440505
685,1.47779882
684,1.482051492
683,1.486607313
682,1.491400242
681,1.49697423
680,1.502705693
679,1.509047151
678,1.516186714
677,1.523736954
676,1.531705976
675,1.540014505
674,1.54851532
673,1.557635307
672,1.566253901
671,1.575309992
670,1.58370924
669,1.591689706
668,1.599320292
667,1.606636524
666,1.613731384
665,1.621256709
664,1.629032135
663,1.637776017
662,1.647326112
661,1.657868862
660,1.669986129
659,1.682798982
658,1.697685003
657,1.713008404
656,1.728994012
655,1.745359302
654,1.76086247
653,1.775122404
652,1.786913753
651,1.795663238
650,1.800527096
649,1.801133037
648,1.797801971
647,1.790482044
646,1.779596567
645,1.766021013
644,1.750681281
643,1.73423779
642,1.716979265
641,1.70000577
640,1.683552504
639,1.667384982
638,1.65262723
637,1.63850987
636,1.625284553
635,1.613089919
634,1.601939917
633,1.59153235
632,1.582393169
631,1.573792696
630,1.566555858
629,1.55967176
628,1.55413878
627,1.549274445
626,1.545217156
625,1.54186666
624,1.539234996
623,1.537619352
622,1.536485195
621,1.536451578
620,1.536803126
619,1.537578702
618,1.539209962
617,1.54090023
616,1.542769432
615,1.544859052
614,1.5471524
613,1.549221039
612,1.551291466
611,1.553746223
610,1.556525469
609,1.559354544
608,1.563182116
607,1.56802702
606,1.573479772
605,1.580231428
604,1.588272691
603,1.597270727
602,1.607642531
601,1.619413376
600,1.632127523
599,1.645616412
598,1.659436107
597,1.673231006
596,1.685633421
595,1.696732998
594,1.706129909
593,1.713061452
592,1.717779517
591,1.720919847
590,1.722378612
589,1.722619891
588,1.722409248
587,1.721938014
586,1.721547723
585,1.721560597
584,1.722343564
583,1.72358942
582,1.725899339
581,1.729404092
580,1.734200239
579,1.740409374
578,1.747921944
577,1.757054687
576,1.766197801
575,1.775412798
574,1.784310102
573,1.791642785
572,1.796327472
571,1.79849112
570,1.797087193
569,1.791267514
568,1.783449411
567,1.773349881
566,1.761780143
565,1.749561787
564,1.737488389
563,1.726121068
562,1.716107011
561,1.707063317
560,1.699373603
559,1.692569494
558,1.686513543
557,1.680934906
556,1.675719023
555,1.670065522
554,1.664493084
553,1.659255147
552,1.654146671
551,1.649452686
550,1.64463973
549,1.640817642
548,1.637595773
547,1.6346066
546,1.632408023
545,1.630438924
544,1.628146291
543,1.627044797
542,1.626540661
541,1.625618696
540,1.625117064
539,1.624587774
538,1.623781681
537,1.623056054
536,1.622849345
535,1.622702718
534,1.622775555
533,1.623427153
532,1.624315381
531,1.625606298
530,1.6274544
529,1.629771113
528,1.632632852
527,1.635600924
526,1.639387846
525,1.643147469
524,1.647589684
523,1.651988983
522,1.656348348
521,1.66122961
520,1.666165233
519,1.670895696
518,1.675799966
517,1.680489779
516,1.685504317
515,1.690131903
514,1.694756031
513,1.699513316
512,1.704241872
511,1.70871675
510,1.713666439
509,1.717968702
508,1.7224406
507,1.726864457
506,1.731168509
505,1.735030532
504,1.737939715
503,1.739753962
502,1.740398169
501,1.739654779
500,1.737528205
499,1.734136105
498,1.72956872
497,1.724369884
496,1.719319105
495,1.713914275
494,1.708859205
493,1.704287767
492,1.700117826
491,1.696711659
490,1.693732023
489,1.691589952
488,1.690179706
487,1.68941462
486,1.689100862
485,1.689522147
484,1.690329313
483,1.692083478
482,1.694062233
481,1.696790218
480,1.700078249
479,1.703601837
478,1.707767844
477,1.712327003
476,1.717579126
475,1.723357797
474,1.729767919
473,1.737266541
472,1.744565248
471,1.752761841
470,1.761495352
469,1.770355821
468,1.779467583
467,1.788748264
466,1.798245311
465,1.807685733
464,1.81716013
463,1.82712853
462,1.837498069
461,1.848173738
460,1.860304117
459,1.872753382
458,1.885918975
457,1.898670197
456,1.910134315
455,1.919275284
454,1.924510956
453,1.926444769
452,1.924597025
451,1.920067668
450,1.913156748
449,1.904962659
448,1.895804405
447,1.88748157
446,1.879867554
445,1.872775197
444,1.866374731
443,1.861189008
442,1.857182741
441,1.853967667
440,1.851718187
439,1.850279808
438,1.84949708
437,1.849800587
436,1.850494862
435,1.852079034
434,1.854278326
433,1.856787562
432,1.860117435
431,1.863787293
430,1.867854476
429,1.872623086
428,1.877733231
427,1.883245826
426,1.889362097
425,1.89564991
424,1.902478337
423,1.909518242
422,1.91644299
421,1.923846126
420,1.931814194
419,1.939882398
418,1.948316216
417,1.957334638
416,1.966387153
415,1.975399256
414,1.984184861
413,1.992791653
412,2.001001358
411,2.007224321
410,2.012626171
409,2.017446756
408,2.021367311
407,2.024499416
406,2.027648211
405,2.030332088
404,2.033364534
403,2.03634882
402,2.038599253
401,2.04116869
400,2.044262886
399,2.046345472
398,2.048884392
397,2.052844286
396,2.057243347
395,2.063212872
394,2.069889784
393,2.078243732
392,2.088504553
391,2.098532915
390,2.110449076
389,2.123000622
388,2.134838581
387,2.147212982
386,2.159494877
385,2.171355724
384,2.182363987
383,2.193707943
382,2.20570302
381,2.217765093
380,2.231415987
379,2.245308638
378,2.259307861
377,2.271562099
376,2.282440662
375,2.288488865
374,2.292836428
373,2.292671442
372,2.291475058
371,2.289902925
370,2.287589788
369,2.288848639
368,2.290825367
367,2.293951273
366,2.2999897
365,2.30720973
364,2.31492424
363,2.325165272
362,2.337373257
361,2.350671768
360,2.365031242
359,2.383197308
358,2.401166677
357,2.421334267
356,2.443861485
355,2.465941906
354,2.490817308
353,2.515005827
352,2.541298389
351,2.564433575
350,2.589412451
