doc,,mk123,,doc,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1188,1.139504671,1188,1.792770505,1188,1.139504671,
1187,1.137883902,1187,1.797644854,1187,1.137883902,
1186,1.136373043,1186,1.802003384,1186,1.136373043,
1185,1.134751916,1185,1.806133628,1185,1.134751916,
1184,1.13309145,1184,1.809949517,1184,1.13309145,
1183,1.131370306,1183,1.812345028,1183,1.131370306,
1182,1.129959822,1182,1.814653039,1182,1.129959822,
1181,1.128442049,1181,1.816222787,1181,1.128442049,
1180,1.12699604,1180,1.817797661,1180,1.12699604,
1179,1.125752568,1179,1.818657398,1179,1.125752568,
1178,1.124453664,1178,1.818355203,1178,1.124453664,
1177,1.12315011,1177,1.818638682,1177,1.12315011,
1176,1.121898413,1176,1.816624284,1176,1.121898413,
1175,1.12102437,1175,1.815752864,1175,1.12102437,
1174,1.119691968,1174,1.813403368,1174,1.119691968,
1173,1.118562698,1173,1.811236382,1173,1.118562698,
1172,1.117817879,1172,1.808088779,1172,1.117817879,
1171,1.116680741,1171,1.803738594,1171,1.116680741,
1170,1.115328431,1170,1.800400734,1170,1.115328431,
1169,1.114268184,1169,1.795115471,1169,1.114268184,
1168,1.113014936,1168,1.791378975,1168,1.113014936,
1167,1.111564875,1167,1.786758661,1167,1.111564875,
1166,1.109989762,1166,1.782844305,1166,1.109989762,
1165,1.10839951,1165,1.77832818,1165,1.10839951,
1164,1.106238604,1164,1.77526319,1164,1.106238604,
1163,1.104081154,1163,1.772479773,1163,1.104081154,
1162,1.101613879,1162,1.770851612,1162,1.101613879,
1161,1.099002004,1161,1.770518661,1161,1.099002004,
1160,1.095739007,1160,1.769839525,1160,1.095739007,
1159,1.092165828,1159,1.771000624,1159,1.092165828,
1158,1.087999701,1158,1.77271533,1158,1.087999701,
1157,1.083018541,1157,1.776708484,1157,1.083018541,
1156,1.077742457,1156,1.780302167,1156,1.077742457,
1155,1.071620107,1155,1.784757376,1155,1.071620107,
1154,1.064507246,1154,1.791816592,1154,1.064507246,
1153,1.05637145,1153,1.798246861,1153,1.05637145,
1152,1.047616124,1152,1.805485487,1152,1.047616124,
1151,1.036433816,1151,1.813418269,1151,1.036433816,
1150,1.024617314,1150,1.820098639,1150,1.024617314,
1149,1.011977911,1149,1.826449633,1149,1.011977911,
1148,0.9980835319,1148,1.832232237,1148,0.9980835319,
1147,0.9833801985,1147,1.837299585,1147,0.9833801985,
1146,0.9679275751,1146,1.840791345,1146,0.9679275751,
1145,0.9513523579,1145,1.844881773,1145,0.9513523579,
1144,0.9339727163,1144,1.848567963,1144,0.9339727163,
1143,0.9173641205,1143,1.853044271,1143,0.9173641205,
1142,0.9009045959,1142,1.856425643,1142,0.9009045959,
1141,0.8842625618,1141,1.863642931,1141,0.8842625618,
1140,0.8679606915,1140,1.87029314,1140,0.8679606915,
1139,0.8520337343,1139,1.880050182,1139,0.8520337343,
1138,0.8361200094,1138,1.892063022,1138,0.8361200094,
1137,0.821182549,1137,1.906591535,1137,0.821182549,
1136,0.8077973127,1136,1.919311404,1136,0.8077973127,
1135,0.7953469157,1135,1.934141517,1135,0.7953469157,
1134,0.7832986712,1134,1.949544311,1134,0.7832986712,
1133,0.7731368542,1133,1.965352297,1133,0.7731368542,
1132,0.7631665468,1132,1.980236053,1132,0.7631665468,
1131,0.75427562,1131,1.994371653,1131,0.75427562,
1130,0.7470980883,1130,2.00391674,1130,0.7470980883,
1129,0.7405719757,1129,2.015293837,1129,0.7405719757,
1128,0.7347261906,1128,2.026305676,1128,0.7347261906,
1127,0.7294635773,1127,2.036297321,1127,0.7294635773,
1126,0.7249651551,1126,2.04554677,1126,0.7249651551,
1125,0.7206261754,1125,2.055783749,1125,0.7206261754,
1124,0.7169408202,1124,2.064012766,1124,0.7169408202,
1123,0.7138961554,1123,2.072452307,1123,0.7138961554,
1122,0.7109826803,1122,2.076004982,1122,0.7109826803,
1121,0.7082123756,1121,2.081006289,1121,0.7082123756,
1120,0.706046164,1120,2.081598759,1120,0.706046164,
1119,0.7037262917,1119,2.076645136,1119,0.7037262917,
1118,0.7015319467,1118,2.069790125,1118,0.7015319467,
1117,0.6997361779,1117,2.054382324,1117,0.6997361779,
1116,0.6981659532,1116,2.035321712,1116,0.6981659532,
1115,0.6963890791,1115,2.010140896,1115,0.6963890791,
1114,0.6947767735,1114,1.983778119,1114,0.6947767735,
1113,0.6933476329,1113,1.948902726,1113,0.6933476329,
1112,0.6919698119,1112,1.912350655,1112,0.6919698119,
1111,0.6904649138,1111,1.877601266,1111,0.6904649138,
1110,0.6891234517,1110,1.837755919,1110,0.6891234517,
1109,0.687893033,1109,1.800481558,1109,0.687893033,
1108,0.6864686608,1108,1.763596177,1108,0.6864686608,
1107,0.6851989031,1107,1.725289941,1107,0.6851989031,
1106,0.6840100884,1106,1.688441992,1106,0.6840100884,
1105,0.6826393008,1105,1.654675007,1105,0.6826393008,
1104,0.68135041,1104,1.62279737,1104,0.68135041,
1103,0.6801431179,1103,1.592433095,1103,0.6801431179,
1102,0.6790211201,1102,1.563529611,1102,0.6790211201,
1101,0.677639842,1101,1.53699708,1101,0.677639842,
1100,0.6764937043,1100,1.510909677,1100,0.6764937043,
1099,0.6753383875,1099,1.487797141,1099,0.6753383875,
1098,0.6740866899,1098,1.467191219,1098,0.6740866899,
1097,0.6728832722,1097,1.448160291,1097,0.6728832722,
1096,0.6719869971,1096,1.429982305,1096,0.6719869971,
1095,0.6707941294,1095,1.414408803,1095,0.6707941294,
1094,0.6696419716,1094,1.399381042,1094,0.6696419716,
1093,0.6687471867,1093,1.386251211,1093,0.6687471867,
